name,position
Angela Thokozile Didiza,"Minister of Agriculture, Land Reform and Rural Development"
Matsie Angelina Motshekga,Minister of Basic Education
Khumbudzo Ntshavheni,Minister of Communications and Digital Technologies
Nkosazana Clarice Dlamini-Zuma,Minister of Cooperative Governance and Traditional Affairs
Thembelani Waltermade Thulas Nxesi,Minister of Employment and Labour
Barbara Dallas Creecy,"Minister of Forestry, Fisheries and Environment"
Enoch Godongwana,Minister of Finance
Mathume Joseph Phaahla,Minister of Health
Bonginkosi Emmanuel Nzimande,"Minister of Higher Education, Science and Innovation"
Pakishe Aaron Motsoaledi,Minister of Home Affairs
Mmamoloko Kubayi,Minister of Human Settlements
Grace Naledi Mandisa Pandor,Minister of International Relations and Cooperation
Ronald Ozzy Lamola,Minister of Justice and Correctional Services
Samson Gwede Mantashe,Minister of Mineral Resources and Energy
Bhekokwakhe Hamilton Cele,Minister of Police
Mondli Gungubele,Ministry in the Presidency
Maite Emily Nkoana-Mashabane,"Ministry in the Presidency for Women, Youth and Persons with Disabilities"
Pravin Jamnadas Gordhan,Minister of Public Enterprises
Ayanda Dlodlo,Minister of Public Service and Administration
Patricia De Lille,Minister of Public Works and Infrastructure
Stella Ndabeni-Abrahams,Minister of Small Business Development
Lindiwe Daphne Zulu,Minister of Social Development
Emmanuel Nkosinathi Mthethwa,"Minister of Sport, Arts and Culture"
Lindiwe Sisulu,Minister of Tourism
Ebrahim Patel,"Minister of Trade, Industry and Competition"
Fikile April Mbalula,Minister of Transport
Senzo Mchunu,Minister of Water and Sanitation
