id,position,country,jurisdiction,deputy,list,start,end,before,after,enwiki
Q273884,President of South Africa,Q258,Q258,Q2363110,,1994-05-10,,Q890030,,President of South Africa
Q2363110,Deputy President of South Africa,Q258,Q258,,,1994-05-10,,,,Deputy President of South Africa
Q6866037,Minister of Agriculture and Land Affairs,Q258,Q258,,,,,,,Minister of Agriculture and Land Affairs
Q96393308,"Minister of Agriculture, Land Reform and Rural Development",Q258,,,,,,,,"Minister of Agriculture, Land Reform and Rural Development"
Q6866029,"Minister of Agriculture, Forestry and Fisheries",Q258,Q258,,,2009-05-10,,,,"Minister of Agriculture, Forestry and Fisheries (South Africa)"
Q11794965,Minister of Arts and Culture,Q258,Q258,,,2004-04-29,,,,Minister of Arts and Culture
Q6866063,Minister of Communications of South Africa,Q258,Q258,,,1999-06-17,,,,Minister of Communications and Digital Technologies
Q20981732,Minister of Cooperative Governance and Traditional Affairs,Q258,Q258,,,2009-05-10,,,,Minister of Cooperative Governance and Traditional Affairs
Q972690,Minister of Defence and Military Veterans,Q258,Q258,,,2009-05-10,,,,Minister of Defence and Military Veterans
Q54642257,Minister of Defence of South Africa,Q258,Q258,,,,,,,
Q3251789,Minister of Education,Q258,Q258,,,,,,,Minister of Education (South Africa)
Q20981737,Minister of Employment and Labour,,,,,1994-05-11,,,,Minister of Employment and Labour
Q20981735,Minister of Energy,Q258,Q258,,,1989-08-16,,,,Minister of Mineral Resources and Energy
Q6866418,"Minister of Environment, Forestry and Fisheries",Q258,Q258,,Q108000424,,,,,"Minister of Environment, Forestry and Fisheries"
Q2128581,Minister of Finance,Q258,Q258,,,1910,,,,Minister of Finance (South Africa)
Q3251805,Minister of Health,Q258,Q258,,,1919-09-03,,,,Minister of Health (South Africa)
Q11794974,"Minister of Higher Education, Science and Innovation",Q258,Q258,,,2009-05-11,,,,"Minister of Higher Education, Science and Technology"
Q2640095,Minister of Home Affairs,Q258,Q258,,,1910-05-31,,,,Minister of Home Affairs (South Africa)
Q20981736,Minister of Human Settlements,,,,,2009-05-10,,,,"Minister of Human Settlements, Water and Sanitation"
Q4294929,Minister of International Relations and Cooperation,Q258,Q258,,,1927,,,,Minister of International Relations and Cooperation
Q2601386,Minister of Justice and Constitutional Development,Q258,Q258,,,1910-05-31,,,,Minister of Justice and Correctional Services
Q108005366,Minister of Labour,Q258,Q258,,,,,,,
Q20981738,Minister of Mineral Resources,Q258,Q258,,,1910-05-31,,,,Minister of Mineral Resources (South Africa)
Q16744852,Minister of Police,Q258,Q258,,,1989-08-16,,,,Minister of Police (South Africa)
Q20981731,Minister in the Presidency,Q258,Q258,,,1999-06-17,,,,Minister in the Presidency
Q20981739,Minister of Public Enterprises,Q258,Q258,,,1994-05-11,,,,Minister of Public Enterprises
Q20981740,Minister of Public Service and Administration,,,,,1994-05-11,,,,Minister of Public Service and Administration
Q16744853,Minister of Public Works,Q258,Q258,,,1910-05-31,,,,Minister of Public Works and Infrastructure
Q20981742,Minister of Science and Technology,Q258,Q258,,,1994-05-11,,,,Minister of Science and Technology (South Africa)
Q20981743,Minister of Small Business Development,Q258,Q258,,,2014-05-25,,,,Minister of Small Business Development
Q20981744,Minister of Social Development,Q258,Q258,,,1999-06-17,,,,Minister of Social Development (South Africa)
Q20981745,Minister of Sport and Recreation,Q258,Q258,,,1993,,,,"Minister of Sports, Arts and Culture"
Q6866333,Minister of State Security,Q258,Q258,,,1989-08-16,,,,Minister of State Security (South Africa)
Q20981747,Minister of Tourism,Q258,Q258,,,1989-08-16,,,,Minister of Tourism (South Africa)
Q20981749,Minister of Trade and Industry,Q258,Q258,,,1910-05-31,,,,Minister of Trade and Industry (South Africa)
Q6866406,Minister of Transport,Q258,Q258,,,1989-08-16,,,,Minister of Transport (South Africa)
Q20981751,Minister of Water and Sanitation,Q258,Q258,,,1928,,,,Minister of Water and Sanitation (South Africa)
Q20981752,Minister of Women in the Presidency,Q258,Q258,,,2014-06-03,,,,"Minister of Women, Youth and Persons with Disabilities"
Q3643395,Speaker of the National Assembly of South Africa,Q258,Q258,,,1854,,,,Speaker of the National Assembly of South Africa
Q5096797,Chief Justice of South Africa,Q258,Q258,Q5261004,,1910,,,,Chief Justice of South Africa
Q109558129,Governor of the South African Reserve Bank,Q258,,,,,,,,
Q48814899,Chief of the South African National Defence Force,,,,,1994-04-27,,,,Chief of the South African National Defence Force
Q7240363,Premier of the Eastern Cape,Q258,Q130840,,,1994-05-07,,,,Premier of the Eastern Cape
Q7240365,Premier of the Free State,Q258,Q160284,,,1994-05-07,,,,Premier of the Free State
Q7240351,Premier of Gauteng,Q258,Q133083,,,1994-05-07,,,,Premier of Gauteng
Q7240352,Premier of KwaZulu-Natal,Q258,Q81725,,,1994-05-07,,,,Premier of KwaZulu-Natal
Q7240353,Premier of Limpopo,Q258,Q134907,,,1994-05-07,,,,Premier of Limpopo
Q7240354,Premier of Mpumalanga,Q258,Q132410,,,1994-05-07,,,,Premier of Mpumalanga
Q7240358,Premier of North West,Q258,Q165956,,,1994-05-07,,,,Premier of North West
Q7240366,Premier of the Northern Cape,Q258,Q132418,,,1994-05-07,,,,Premier of the Northern Cape
Q4997324,Premier of the Western Cape,Q258,Q59136539,,,1994-05-07,,,,Premier of the Western Cape
