position,title
Q63875626,Member of the House of Assembly of South Africa
Q63875806,Member of the House of Representatives of South Africa
Q6814221,Member of the Parliament of South Africa
Q16744266,member of the National Assembly of South Africa
Q57312980,Member of the Eastern Cape Provincial Legislature
Q57313163,Member of the Free State Legislature
Q57313165,Member of the Gauteng Provincial Legislature
Q57313167,Member of the KwaZulu-Natal Provincial Legislature
Q57313170,Member of the Limpopo Provincial Legislature
Q57313172,Member of the Mpumalanga Provincial Legislature
Q57313175,Member of the North West Provincial Legislature
Q57313177,Member of the Northern Cape Provincial Legislature
Q6814209,Member of the Western Cape Provincial Parliament
